Type of script,Age group,Value,JAN-2015,FEB-2015,MAR-2015,APR-2015,MAY-2015,JUN-2015,JUL-2015,AUG-2015,SEP-2015,OCT-2015,NOV-2015,DEC-2015,JAN-2016,FEB-2016,MAR-2016,APR-2016,MAY-2016,JUN-2016,JUL-2016,AUG-2016,SEP-2016,OCT-2016,NOV-2016,DEC-2016,JAN-2017,FEB-2017,MAR-2017,APR-2017,MAY-2017,JUN-2017,JUL-2017,AUG-2017,SEP-2017,OCT-2017,NOV-2017,DEC-2017,JAN-2018,FEB-2018,MAR-2018,APR-2018,MAY-2018,JUN-2018,JUL-2018,AUG-2018,SEP-2018,OCT-2018,NOV-2018,DEC-2018,JAN-2019,FEB-2019,MAR-2019,APR-2019,MAY-2019,JUN-2019,JUL-2019,AUG-2019,SEP-2019,OCT-2019,NOV-2019,DEC-2019,JAN-2020,FEB-2020,MAR-2020,APR-2020,MAY-2020,JUN-2020,JUL-2020,AUG-2020,SEP-2020,OCT-2020,NOV-2020,DEC-2020,JAN-2021,FEB-2021,MAR-2021,APR-2021,MAY-2021,JUN-2021,JUL-2021,AUG-2021,SEP-2021,OCT-2021,NOV-2021,DEC-2021,JAN-2022,FEB-2022,MAR-2022,APR-2022,MAY-2022,JUN-2022,JUL-2022,AUG-2022,SEP-2022,OCT-2022,NOV-2022,DEC-2022,JAN-2023,FEB-2023,MAR-2023,APR-2023,MAY-2023,JUN-2023,JUL-2023,AUG-2023,SEP-2023,OCT-2023,NOV-2023,DEC-2023,JAN-2024,FEB-2024,MAR-2024,APR-2024,MAY-2024,JUN-2024,JUL-2024,AUG-2024,SEP-2024,OCT-2024,NOV-2024,DEC-2024,JAN-2025,FEB-2025,MAR-2025,APR-2025,MAY-2025,JUN-2025,JUL-2025,AUG-2025,SEP-2025,OCT-2025,NOV-2025,DEC-2025
Agents acting on the renin-angiotensin system,0-18,Benefits per ERP,0.00272784938516,0.00300081890388,0.0028096548266,0.00296724761655,0.00294637187799,0.00312119523947,0.00376665911014,0.00385758014284,0.00368705019661,0.00379862497524,0.00368872023953,0.00394312345709,0.00335448720563,0.0032978347589,0.00340726940342,0.00329407406994,0.00348377681293,0.00312576907981,0.00333785710237,0.00345806585468,0.00348728443431,0.00331183177598,0.00388457205463,0.00350915958603,0.0027560007183,0.00270047617947,0.00303718793249,0.00284513804136,0.00310393067983,0.00297106919045,0.00305664705108,0.00325331796549,0.00335206430394,0.00327140920019,0.00388799283598,0.00362105881512,0.00316714985724,0.00272591044968,0.0032380986516,0.00252290132205,0.00249635797931,0.00211889874866,0.00277509274927,0.0030164716163,0.00286105617266,0.00326493653725,0.00333357579616,0.00328338421928,0.00289382454538,0.0025010411361,0.00321389633912,0.0029487304867,0.00322229205284,0.00280386049085,0.0029843301458,0.00332330234409,0.00310702606467,0.00338124716743,0.00328683676498,0.00379742435029,0.00295699324229,0.00264977745659,0.00404577550088,0.00268483705644,0.00292996802098,0.00315821372976,0.0036488333167,0.00363935790993,0.00391273824875,0.00387425148039,0.00360315610565,0.00379977031832,0.00285197526367,0.00288882462275,0.00316588280973,0.00289509939208,0.00283563149851,0.0028171241866,0.00323159505966,0.00293823306003,0.00320221993933,0.00308464532925,0.00339218353042,0.00316975650716,0.00283030413391,0.00263336194653,0.00275488412555,0.00294684425801,0.00302957813902,0.00285696161516,0.00331420852372,0.00318147024982,0.00335545999412,0.00294706197926,0.00340943334022,0.00370431685038,0.00300851300968,0.00283700359352,0.00312417089802,0.00310012658657,0.00376129928612,0.00323865951731,0.00326342437654,0.00310329601227,0.00285459109155,0.00302066368613,0.00271130446377,0.00309975585737,0.00221363903549,0.00228522546546,0.00215101760379,0.00238199369664,0.00245041920294,0.00228698317258,0.0025165683541,0.00277515819722,0.00245779043396,0.00302474625564,0.00248536270239,0.00269105927869,0.00224416378296,0.0021954610095,0.00221357404524,0.00199859630879,0.0020798002799,0.00205093410797,0.00213833738706,0.00219091390541,0.00257609684492,0.00235201319646,0.00247573544155,0.00255028661513
Agents acting on the renin-angiotensin system,0-18,Scripts per ERP,3.9596536993e-4,3.8560165537e-4,4.2509098141e-4,4.0579303038e-4,4.1490595168e-4,4.3527601122e-4,4.402197951e-4,4.4552151888e-4,4.1265083155e-4,4.3438789878e-4,4.1689221051e-4,4.6337065545e-4,3.9197410889e-4,4.0858617678e-4,4.2060341708e-4,4.0434479783e-4,4.4163358806e-4,4.2201721026e-4,4.4761267138e-4,4.6469446339e-4,4.4255785542e-4,4.4726406357e-4,4.7079510336e-4,4.7428118296e-4,4.1031161524e-4,4.0281654333e-4,4.5005292743e-4,4.1048591957e-4,4.3610860748e-4,4.3523708746e-4,4.2053810957e-4,4.327700664e-4,4.2605110382e-4,4.2984128816e-4,4.267402282e-4,4.427623688e-4,3.998643802e-4,3.7126572132e-4,4.28290758e-4,3.9297313697e-4,4.1812617437e-4,3.9038892107e-4,4.0586958768e-4,4.0586958792e-4,3.8640423938e-4,4.0911381256e-4,4.1833424059e-4,4.1748049719e-4,3.857212447e-4,3.6710963977e-4,3.9801514884e-4,3.7206135111e-4,4.0723557712e-4,3.9169744825e-4,4.0383678779e-4,4.1078196762e-4,3.9333432145e-4,3.9502826775e-4,3.9299553222e-4,4.0942681085e-4,3.6877210065e-4,3.7724183199e-4,5.337624663e-4,3.1185550623e-4,3.5572871456e-4,3.7554788535e-4,4.1736297392e-4,3.9392319479e-4,3.8582888255e-4,4.0977455622e-4,3.6896573217e-4,4.0876276697e-4,3.5142805561e-4,3.4181605998e-4,3.7436194022e-4,3.4687500492e-4,3.517653184e-4,3.5260847614e-4,3.7453909157e-4,3.5752224572e-4,3.6122888554e-4,3.5566892593e-4,3.7116941908e-4,3.7976208389e-4,3.4117933439e-4,3.207928164e-4,3.6055495098e-4,3.2786912839e-4,3.5499499149e-4,3.3174425165e-4,3.4777932474e-4,3.5278334379e-4,3.4344250819e-4,3.437761093e-4,3.5278334351e-4,3.6662779649e-4,3.1808881148e-4,3.0524516292e-4,3.5128213794e-4,3.3360127065e-4,3.6646099556e-4,3.3510247641e-4,3.4511204761e-4,3.4280360592e-4,3.3307517256e-4,3.4280360565e-4,3.4033027551e-4,3.4016538663e-4,2.9993254387e-4,3.0290054051e-4,3.1510230434e-4,2.9828365697e-4,3.1411297216e-4,2.9482099416e-4,3.1530764713e-4,3.0142104069e-4,2.9962395067e-4,3.0256464362e-4,2.9668325761e-4,3.0909951725e-4,2.7364782843e-4,2.8704431915e-4,2.9161873055e-4,2.9145535881e-4,2.9488616739e-4,3.0566870877e-4,2.9688016108e-4,2.9720479771e-4,2.9980189065e-4,3.0986562485e-4,3.0337289304e-4,3.2139022397e-4
Agents acting on the renin-angiotensin system,19-64,Benefits per ERP,0.32057672074792,0.31679060013002,0.35702119648583,0.32670097334916,0.34164941966684,0.34838991493115,0.43265481538446,0.42975680378594,0.44628996023872,0.44143749685813,0.4468538274729,0.53432258454886,0.31177242454651,0.33110376077403,0.35714127019225,0.32114352546859,0.33515680232594,0.3016424368728,0.31168017992159,0.33469174912632,0.3342287639479,0.31639739535524,0.33404086150575,0.38047577804788,0.23416583554966,0.23327299094096,0.26408950865991,0.23317757809901,0.26062072497076,0.26382066479253,0.28670924235327,0.31290724459673,0.31065331605585,0.32498778215259,0.34065320006159,0.37796294411545,0.25917055281067,0.25218222577997,0.28497038933933,0.25966286345505,0.28668289675897,0.2791874236362,0.30005865685229,0.31757160576068,0.30601761188075,0.34347512197297,0.35246089851574,0.38587236975845,0.2696680111325,0.26388721251668,0.28973694600291,0.28047275349351,0.30601927061576,0.28821018298353,0.32152237901066,0.32831898127615,0.32374143784418,0.3581498781257,0.35686973175219,0.40219553865544,0.28434890120715,0.28754303881735,0.36578983098107,0.28319126060198,0.32206822126916,0.34748396603924,0.3974130166948,0.39660707296523,0.41094703308951003,0.43547647955507,0.43431147703768,0.50545489414802,0.33500916686738,0.3383691926943,0.39019933860977,0.36357902074612,0.38209896596789,0.38891937770352,0.41948459747546,0.42966426374459,0.43106604742202,0.44665181573375,0.4667026323076,0.52459939218876,0.34552235828051,0.34463388587518,0.39327790316441,0.37180360995988,0.39592867545599,0.39817700140167,0.41852227401661,0.45340348754318,0.45223453962439,0.46591628408235,0.48596579605879,0.54908966378094,0.35293068112833,0.35481329763729,0.40844572447947,0.37892257384211,0.4312120975662,0.42460850506286,0.45011341538798,0.48077879987777,0.47314019909242,0.49911787933139,0.51291057185395,0.55174129467321,0.38369102562078,0.39116697281987,0.40955944886397,0.42078238325546,0.45246880032764,0.43324993074037,0.48019419354268,0.48644440525154,0.47885574814155,0.51706427470358,0.50558789282534,0.56743472311646,0.40652821958449,0.3983245409987,0.46061688578281,0.30496729481886,0.33251954932445,0.32470169433585,0.36023476201929,0.35592385189209,0.36649057259022,0.38839119188673,0.37458112897029,0.43941693364523
Agents acting on the renin-angiotensin system,19-64,Scripts per ERP,0.07771248066749,0.07503846514706,0.08417056927356,0.08049219616051,0.08388879501827,0.08330820706147,0.0850108134004,0.0837886116794,0.08203590812021,0.08420030356189,0.0816443488724,0.08957338940229,0.07586504941343,0.07787235550539,0.08305883782373,0.08116698624143,0.08339164264105,0.08144048879916,0.08210510761552,0.08451940061963,0.08098932499077,0.08209225375809,0.08216653553133,0.08753193928927,0.07657361847043,0.07456523680757,0.08330416971903,0.07813455053169,0.08423695398161,0.08156916934253,0.08156410002577,0.08343271759007,0.07979281670557,0.08202677104145,0.08097262779437,0.08493826507245,0.07800293321726,0.07413783021688,0.0829259128258,0.07862153903404,0.08394932244503,0.08045668961633,0.08212149654778,0.08332832188019,0.07844904191899,0.08303368858954,0.08145268292214,0.08444441489846,0.0774200624521,0.07380116554919,0.08115686530999,0.0791889807308,0.08365572145024,0.07884625076004,0.08258869455772,0.0825605096157,0.07852311430797,0.08278800235157,0.0801280973018,0.08442584612795,0.07751072942785,0.07709120243482,0.10078889258572,0.06702378847125,0.07651081346452,0.07897251473933,0.0841798305118,0.08215193301685,0.08110881746723,0.083510153036,0.0806933998052,0.08766806402491,0.07759386381553,0.07483409208305,0.08521489782952,0.0793417471466,0.08319395400895,0.08239196355776,0.08637417790178,0.08645548188523,0.08341769295985,0.08471356832854,0.08478586732689,0.08988372428472,0.07993153362067,0.07567658194829,0.08582416131045,0.08156292558629,0.08494964140989,0.08303281091342,0.0839938566357,0.0860342456896,0.08315454538494,0.08472220048198,0.08439911215586,0.08925781665607,0.07981243814805,0.07712369157659,0.08650608165386,0.08109125728007,0.08742922781463,0.08387981037146,0.08359644330645,0.08524226822072,0.08173696236689,0.08254188306537,0.08040763024989,0.0817597872642,0.07465369763152,0.07225801864514,0.07456146258673,0.07393440148598,0.07598521245421,0.07082248215036,0.07345373840152,0.07254837374086,0.06903713924469,0.07181417710448,0.06896190592248,0.07218625230242,0.06577151223859,0.06232152694994,0.06820218369275,0.06567985215829,0.06882200369212,0.0655341486603,0.06799811655593,0.06663633530635,0.06555395244596,0.06740368775486,0.06429383080111,0.069491952967100007
Agents acting on the renin-angiotensin system,65+,Benefits per ERP,4.90056148040976,4.97275409110051,5.62942475406381,5.16108768977561,5.34674894551404,5.51242665006611,6.79647301376343,6.70532152249266,6.99528535216747,6.84286551407156,6.8519279381592,8.1919510452172,4.75640158502824,5.23630641293018,5.6753219193134,5.08735589279748,5.31709951340186,4.99228009730767,5.01692209739477,5.45499059534685,5.4817508631109,5.13318521499003,5.42532018065742,6.15353652262484,3.73714719110102,3.79034519685423,4.31289090522052,3.82163104590952,4.296102760766,4.30823511227868,4.56225770877272,5.0181423268432,4.99082070370502,5.22136485570838,5.4763375753991,6.07027162043843,3.98555629076461,3.93214147067595,4.43286923738574,4.1112003712533,4.56433025318112,4.41193765139579,4.68543896655196,5.01463448965968,4.83974211514861,5.52792516756515,5.65128611927147,6.20796739499331,4.07729850963641,4.05040705506829,4.41549935094628,4.40720779638567,4.78780529774312,4.47962952734648,4.97819546800572,5.10190728246821,5.07357060488131,5.67870125551782,5.64815683119324,6.43528910241682,4.23316653701774,4.35156587035666,5.45616769497835,4.29972863935482,4.64066242914852,5.06075020406892,5.67332078356284,5.64214417822147,5.94113498260945,6.309278392511,6.29056526129662,7.4703014993770704,4.41893752814453,4.59635454491376,5.39992636702765,5.05431795112196,5.35355549840727,5.59865464487167,5.85065983653821,6.05509299831737,6.17758660368491,6.37586191381123,6.74349987085352,7.65669448866361,4.59718463079761,4.6960467629917,5.4168958578687,5.15743736951067,5.54057852182019,5.68267804228875,6.08019061985068,6.69061710316604,6.69156377441336,6.89184246718188,7.24360754402226,8.23226830550553,4.6260450749238,4.7687114673228,5.52128498443209,5.22256423323157,6.11146123172073,6.1585879541359,6.59267890980639,7.17193136546001,7.02340313869154,7.48254706177042,7.67708277978242,8.28918381267777,4.9985524719085,5.18231673840764,5.40098349076631,5.71988154893102,6.27984675777869,5.97336514820333,6.82273932088531,6.90336488000418,6.81510960150497,7.4711782586372,7.28745975442806,8.32061666272648,5.1549789358074,5.13536347620419,5.85180235215003,4.63830550211789,5.1221150859462,5.1017839456364404,5.68857959013601,5.5963636634896,5.86543745707353,6.25985674831817,5.94447860418445,7.18144853441783
Agents acting on the renin-angiotensin system,65+,Scripts per ERP,0.45096898794532,0.45593362050115,0.51690601330271,0.49933646081673,0.51084787752627,0.51127638901474,0.51423091551643,0.49199308780389,0.4952331032825,0.51095741948587,0.49766198949938,0.57383048830283,0.43209753581978,0.47330869838624,0.51287312507065,0.49802464840934,0.51426101985823,0.50275918995958,0.48444727768965,0.50686459066455,0.48986221255987,0.49318115780239,0.50411940794036,0.54866538260124,0.44539956554225,0.45020560956397,0.51191952835762,0.47393710287892,0.52531594380074,0.50187282948284,0.48133246362579,0.50206493162055,0.47661789933809,0.49598430518914,0.49979581658542,0.52951367393649,0.45839185840197,0.44792214684833,0.50256727293175,0.4827595036149,0.52474631496948,0.48932003362881,0.48894807583082,0.50056484624045,0.46248051823119,0.5076894575994,0.5004430492667,0.52557314303535,0.45517039675923,0.44606121115371,0.48649857489066,0.48944626640059,0.52159145659555,0.47276315118538,0.49797342377931,0.49049789035557,0.46673883511101,0.50459900272038,0.48611497149256,0.5281445775701,0.45569264971592,0.46283073038158,0.58651250128596,0.43465925079081,0.46240302573274,0.48568429149297,0.50059924051587,0.47724330742103,0.48392772245921,0.49746155560938,0.48289328935597,0.54885296601653,0.4311553963387,0.43973388417055,0.51343294484977,0.47489577463597,0.4904793708904,0.49422381816178,0.49378299986299,0.49242122385345,0.48365625387211,0.48582790997216,0.49904281630474,0.54378787908365,0.44160345128303,0.44000200265661,0.50648147438313,0.47870912439765,0.50053833611875,0.49263493576654,0.47797118944003,0.50111517721998,0.48301068980914,0.48873003326309,0.49906797888287,0.5445082934484,0.44188424351027,0.44523315863944,0.50841503176814,0.46917766505049,0.51816471238636,0.49153940471706,0.48052073362164,0.49989813829291,0.4756151448173,0.48842976201462,0.48300686057113,0.50211124521549,0.42446500680272,0.42753489224842,0.43760900239247,0.44566386076297,0.46091460608284,0.41504570614166,0.43951389206128,0.42884451874319,0.40792982221478,0.43563911286426,0.41489024719269,0.45481077609779,0.38042553168406,0.37131356330289,0.40303025525897,0.40071884151927,0.41665520676241,0.3928381511814,0.40904743077071,0.38916710245877,0.39378874308042,0.40928258353964,0.38125435612996,0.44216119862768
Agents acting on the renin-angiotensin system,Total,Benefits per ERP,0.91995368984741,0.9282503969242,1.04968621862001,0.96225597913392,0.99954049853035,1.02935657629822,1.28909147262391,1.27393945064586,1.32743881858931,1.30081663336308,1.30507874377473,1.55946011979101,0.90407313773149,0.98766256321724,1.06938253881329,0.95981505571024,1.00378802218383,0.93610779803897,0.95943077486204,1.0408172197559,1.04460210389036,0.98037629789794,1.03627138069815,1.17746967640221,0.7130119577003,0.72062781228257,0.81914868915737,0.72573110256013,0.81590512701269,0.82124584863163,0.88480554992332,0.97275881693547,0.96789506816244,1.01277610834144,1.06243806623917,1.17795631464671,0.77553692147883,0.76282765233281,0.85961698335111,0.79474937078429,0.88209259344122,0.8547419766601,0.92181311062653,0.98461689084601,0.94998429925407,1.08142942948696,1.10623728990244,1.21447648731817,0.80545965989709,0.79738595133471,0.87051962045516,0.86378551182933,0.94052429090767,0.88229025631648,0.99466157291577,1.01948527331826,1.01249165160909,1.13116155125913,1.12562825811521,1.27987954131257,0.84924494765758,0.87002057011731,1.0946955993216,0.86082910768168,0.93975037325621,1.02336059344261,1.17568203478794,1.16782507076209,1.22489428891913,1.29944484884966,1.29556830246569,1.53144401222874,0.9268109551665,0.95796455081602,1.12115818907704,1.04964648510938,1.11143648888094,1.15578714353524,1.24193169876084,1.28278349008007,1.30442840819634,1.34721909265545,1.42142207483036,1.61054842915596,0.98217870438702,0.99815914455624,1.14902026799935,1.09400332882398,1.17519283862071,1.20130087617423,1.30241534812623,1.42827958988951,1.42487298277134,1.46322832044218,1.53212844889712,1.73857233605904,1.00206594242437,1.02744185349237,1.1899501131852,1.12369174870576,1.31148964084352,1.31811046590199,1.4135115305058,1.53107293595243,1.49965162535219,1.59444559283909,1.63624712924867,1.76548305989792,1.08791943609896,1.12405840083195,1.17446860537841,1.24032057220953,1.36088142901839,1.29349393102302,1.47832989247092,1.49294313437071,1.47063920998285,1.60643433686562,1.56707679174142,1.78300096526959,1.13713424352398,1.12900048634243,1.29250036621145,0.98989352310855,1.09181662788286,1.08355500480687,1.2193316709845201,1.20011890083289,1.25355847230628,1.33577424143013,1.27217083925716,1.52871738551108
Agents acting on the renin-angiotensin system,Total,Scripts per ERP,0.11465062191256,0.11371654910067,0.12834619613071,0.12346399588499,0.12730486341106,0.12708425217772,0.12983316463132,0.12575426723734,0.12514728020967,0.12881825847154,0.12521647740257,0.14152362727818,0.11157577081094,0.11897554562369,0.12810659389749,0.12474448368581,0.1286158314916,0.12579041940841,0.12462008967798,0.12954830506024,0.12477750419694,0.12598783500498,0.12773357359899,0.13793637418051,0.11501879610313,0.11451282086093,0.12929874848237,0.12035030351691,0.13199401741224,0.12685650851137,0.12476031395457,0.12919343827353,0.12307960430023,0.12747987319629,0.12745527228392,0.13453736547503,0.11886048754795,0.11484289493075,0.12861192159835,0.1229159371025,0.13273153682373,0.12515620559195,0.12729520320471,0.12988813398092,0.12090813626223,0.13084778436116,0.12874549466765,0.13454517834866,0.1189896366797,0.11532032396589,0.12614226876362,0.12541179519717,0.13325940868065,0.12270958381458,0.13024474688723,0.12909222269074,0.12284864320399,0.13154982788897,0.12699431999231,0.13638053010173,0.12017591910576,0.12105356476331,0.15537201637452,0.11047125406801,0.12074991160236,0.12603828421391,0.1335462154644,0.12838969002069,0.12879640759728,0.13244750879117,0.1283409556481,0.14335644459454,0.11785784128522,0.11757124418522,0.13595583776108,0.1261208515685,0.13109253728787,0.13122875960599,0.1355501714284,0.13539307836956,0.13207901823205,0.13323048895869,0.13550761809123,0.14614147516221,0.12264701068219,0.11979009718983,0.13712153030106,0.12992740781731,0.13574572990496,0.13330625180779,0.13279042424483,0.13800916654742,0.13304835390793,0.13480735659149,0.13621791785654,0.14689061771809,0.1234984609706,0.12244437379846,0.13894164897114,0.12908574560344,0.14147324920244,0.13490055871334,0.13337927245187,0.13771878251977,0.13138144214921,0.13410080494195,0.1319055622105,0.13605493668808,0.1178577341603,0.11693091224171,0.12010087650701,0.12125661882056,0.12530993150318,0.11423803114588,0.12076636245156,0.11826785964189,0.11244078994131,0.11888019415803,0.1135391456793,0.12238714411073,0.10557934853319,0.10193100858576,0.1110162995189,0.10918650335864,0.11391477605676,0.10781680385929,0.1130397095834,0.10870961541646,0.10886098565477,0.11269637435726,0.10589836588606,0.11974475934683
Antihypertensives,0-18,Benefits per ERP,0.03788741399535,0.04474652769172,0.04115410687657,0.04308814389936,0.04255748596652,0.04656249521675,0.0485350789221,0.04021713912007,0.04736467745095,0.04731996447146,0.05436771549828,0.05300709172279,0.04030733738276,0.04764064277252,0.05119492544259,0.03667100522016,0.04684669372269,0.04504168654872,0.04330244373099,0.04835417976659,0.042684058454,0.04271666374776,0.05395585538382,0.04795950669245,0.03870083382379,0.04127715500183,0.04644622029074,0.03711676778663,0.05057162464851,0.04581515086547,0.04256534268677,0.04628232072107,0.04423821263271,0.04381442528719,0.04602986178472,0.05316830065525,0.04228413694645,0.04557904354592,0.0471760650118,0.04092399333792,0.0512450753032,0.04931818381476,0.04794314611595,0.05174301773664,0.05066264480593,0.04986393033726,0.04694077458195,0.05085798986791,0.04450731410802,0.04536539276718,0.04554005330089,0.046351491947,0.05060282812805,0.04725364078842,0.04817553178588,0.04895938317472,0.04684213689281,0.04842474516072,0.04935110506196,0.05479383233973,0.04411281006957,0.04339242721172,0.05899874059035,0.04057955488591,0.05039672894496,0.05165414529419,0.05747601297154,0.05210560375496,0.05255332043903,0.05652612349967,0.05203069261232,0.06171755731348,0.05026902285417,0.0499112289825,0.05674143548448,0.05441209319755,0.05929213539501,0.0613658696562,0.05830460818331,0.0600908160379,0.05744337898322,0.05865616952638,0.06418576162191,0.06500104883954,0.05355230701522,0.05208376499895,0.06496347687858,0.05258011598534,0.05961207821298,0.05854167299726,0.05850098265279,0.06302549488097,0.05880475817562,0.06085551039428,0.07060146792799,0.07464920570744,0.06034578761816,0.0632490844079,0.07535728775068,0.05916208017469,0.06251763538632,0.06684964290698,0.06350364244075,0.06905500454924,0.06791441508426,0.06256723950158,0.07756390780763,0.08063450157343,0.0600580951361,0.061472195383,0.05483467349488,0.07317275191192,0.07075399305565,0.06497587255009,0.07751026367935,0.07142872257746,0.07363168403613,0.0815566476252,0.08224445604479,0.08614427266534,0.06770333494659,0.06920389055827,0.06767949573291,0.07581074246555,0.07143447816556,0.0759248592866,0.0748964822953,0.08263633960801,0.0767215372332,0.07646639074806,0.0761588462779,0.0877808329253
Antihypertensives,0-18,Scripts per ERP,9.8115787245e-4,0.00104602043079,0.00114179544681,0.00107818368267,0.00115626891095,0.00114930020622,0.00124201714929,0.00118210767,0.00118793956692,0.00120755594458,0.00124307749316,0.00135034903718,0.00109498267745,0.00121144387486,0.00132136628056,0.00124767232118,0.00135724127752,0.00135052576203,0.00134911295682,0.00143783369241,0.00136462601285,0.0014021013721,0.00147321740446,0.00153422380381,0.00127712540493,0.0013555622045,0.00157535954805,0.00136183714849,0.00158860665282,0.00159209273166,0.00155604268818,0.00166268467506,0.00151745172707,0.00161513509707,0.00171230162487,0.00174486274849,0.00157430448217,0.00158498590846,0.00176898209903,0.00159859611377,0.00186098019429,0.00177036034767,0.00177407867651,0.0019057259002,0.00175119835439,0.00187208841262,0.00187567413445,0.001945851838,0.00171721936946,0.0017310500115,0.00188455306601,0.00181181413254,0.00203378740285,0.00188199183567,0.00198293348889,0.00200292205571,0.00193618057277,0.00204052766231,0.00199411353422,0.00213623562538,0.00190111588569,0.001942278779,0.00252279416144,0.00185216083866,0.00212336163432,0.00216333876596,0.00231531055834,0.00226168573951,0.00225544637361,0.00235881748613,0.00230249456354,0.00248225574779,0.00205072772698,0.00230097688042,0.00251716246917,0.00232576571165,0.00247989490691,0.00247989490669,0.00257645154743,0.00262109970733,0.00252405314112,0.00260458831224,0.00265884003878,0.0028295139476,0.00238168448113,0.00248125830135,0.00281755161128,0.00252371617409,0.0027995238635,0.00273213041483,0.00269299625558,0.00292768475074,0.00276605493424,0.00279808065583,0.00290199745237,0.00306913168893,0.00255672013649,0.00266747575938,0.00308130813518,0.00266730895846,0.00312400909834,0.00297872574466,0.00298267168023,0.00322192518159,0.00297739524171,0.00315168259631,0.00316289502798,0.003279801116,0.00292990729585,0.00306940313434,0.00312447596127,0.0031022159867,0.00338318633078,0.00310007243364,0.00341528826922,0.00345319053618,0.00325600072787,0.00345515099805,0.00339666387992,0.0035912397391,0.00319212233919,0.00319277582574,0.00350693987033,0.0034334225443,0.00370625351326,0.00357212523312,0.00371936140639,0.00371627735795,0.00368754701936,0.00384954067851,0.00372715268446,0.00415340052596
